isogroup141339	GO:0000790;GO:0031491;GO:0003714;GO:0016569;GO:0006336;GO:0031935;GO:0006351
isogroup71425	GO:0005783;GO:0005524;GO:0016887;GO:0046872;GO:0006810
isogroup58561	GO:0031461;GO:0005737;GO:0005634;GO:0031625;GO:0031145;GO:0008595;GO:0008105;GO:0030261;GO:0042078;GO:0019100;GO:0019102;GO:0051232;GO:0007067;GO:1902104;GO:0042787;GO:0051759;GO:0036369
isogroup60863	GO:0005737;GO:0002161;GO:0005524;GO:0004832;GO:0006438
isogroup51466	GO:0005829;GO:0005634;GO:0005685;GO:0071004;GO:0003729;GO:0000395;GO:0045292;GO:0006376
isogroup36231	GO:0016021;GO:0043231;GO:0042470;GO:0033162;GO:0048471;GO:0005507;GO:0004503;GO:0008283;GO:0042438;GO:0043473;GO:0048538
isogroup29756	GO:0005783;GO:0005789;GO:0016021;GO:0004842;GO:0008270;GO:0016567
isogroup54788	GO:0042555;GO:0016020;GO:0000784;GO:0005654;GO:0005634;GO:0005524;GO:0003678;GO:0003697;GO:0006260;GO:0006270;GO:0006268;GO:0000082
isogroup39702	GO:0005737;GO:1990247;GO:0043022;GO:0003723;GO:0045948
isogroup38715	GO:0005829;GO:0005783;GO:0070062;GO:0042405;GO:0005654;GO:0000151;GO:0030018;GO:0042803;GO:1904264;GO:0004842;GO:0034450;GO:0071218;GO:0006281;GO:0030968;GO:0006515;GO:0032091;GO:0030512;GO:0090035;GO:0032436;GO:0051443;GO:0043161;GO:0051865;GO:0070534;GO:0000209;GO:0042787;GO:0031943;GO:0031647;GO:0006511;GO:0030579
isogroup39767	GO:0005813;GO:0010008;GO:0005871;GO:0005874;GO:0030496;GO:0032588;GO:0005524;GO:0016887;GO:0003777;GO:0035459;GO:0000910;GO:0008333;GO:0043001;GO:0006886;GO:0032438;GO:0072383
isogroup125426	GO:0009941;GO:0016021;GO:0016020;GO:0005743;GO:0005739;GO:0005471;GO:0015865;GO:0046902
isogroup44765	GO:0005925;GO:0005887;GO:0005886;GO:0046875;GO:0001618;GO:0009653;GO:0009887;GO:0007155;GO:0030154;GO:0002042;GO:0007267;GO:0048013;GO:0001945;GO:0010839;GO:0072178;GO:0007399;GO:1903849;GO:2000727;GO:0008284;GO:0050920;GO:0031295;GO:0048845
isogroup72943	GO:0019902;GO:0004864;GO:0010923
isogroup147431	GO:0005930;GO:0005813;GO:0036064;GO:0005737;GO:0030991;GO:0035091;GO:0071333;GO:1905705;GO:0071356;GO:0060271;GO:0035721;GO:0097421;GO:0010629;GO:0045019;GO:0043280;GO:0090200;GO:0061512;GO:0032496;GO:0009636
isogroup89414	GO:0016607;GO:0005730;GO:0003723;GO:0004843;GO:1903955;GO:0016579;GO:1903146;GO:0006511
isogroup123093	GO:0006914
isogroup50381	GO:0035577;GO:0045178;GO:0070062;GO:0101003;GO:0005886;GO:0004185;GO:0060055;GO:0007597;GO:0097009;GO:0042593;GO:0003085;GO:0043312;GO:0002353;GO:0043535;GO:2000377;GO:0002155
isogroup3583	GO:0005634;GO:0005667;GO:0043565;GO:0003700;GO:0007399;GO:0014036;GO:0045944;GO:0045893;GO:0006351
isogroup44206	GO:0030054;GO:0005829;GO:0030425;GO:0031045;GO:0032009;GO:0070062;GO:0016021;GO:0005765;GO:0005764;GO:0043025;GO:0005778;GO:0005777;GO:0030670;GO:0005886;GO:0042734;GO:0008021;GO:0030672;GO:0043195;GO:0005509;GO:0005544;GO:0005516;GO:0030276;GO:0005546;GO:0001786;GO:0019905;GO:1990927;GO:0048791;GO:0006909;GO:0090385;GO:0001778;GO:0045956;GO:0046850;GO:0017158;GO:0014059;GO:0070092;GO:0050796;GO:0050764;GO:1990926;GO:0036465;GO:0006906;GO:0090119
isogroup141306	GO:0000776;GO:0005730;GO:0005654;GO:0005634;GO:0016580;GO:0005667;GO:0017053;GO:0003682;GO:0003677;GO:0033558;GO:0003723;GO:0001102;GO:0001103;GO:0001106;GO:0003714;GO:0003700;GO:0008134;GO:0000976;GO:0002218;GO:0007568;GO:0034613;GO:1903351;GO:0071333;GO:0000183;GO:0006260;GO:0002244;GO:0016575;GO:0001701;GO:0043066;GO:0042754;GO:1901675;GO:1900181;GO:0000122;GO:2000678;GO:0045892;GO:0031937;GO:0002230;GO:0010971;GO:0045944;GO:0006476;GO:0010817;GO:0043619;GO:0006355;GO:0051595;GO:0048511;GO:0006351
isogroup115764	GO:0045177;GO:0016324;GO:0005903;GO:0031526;GO:0005905;GO:0030139;GO:0005783;GO:0005768;GO:0070062;GO:0005794;GO:0016021;GO:0005765;GO:0016020;GO:0043235;GO:0005509;GO:0004872;GO:0035904;GO:0008283;GO:0060976;GO:0030900;GO:0007507;GO:0006898;GO:0003281;GO:0006766
isogroup21638	GO:0005852;GO:0003743;GO:0006413
isogroup7635	GO:0005737;GO:0005634;GO:0004177;GO:0004252;GO:0008240
isogroup34392	GO:0005789;GO:0000139;GO:0016021;GO:0016192
isogroup139156	GO:0000932;GO:0035198;GO:0004842;GO:0008270;GO:0010172;GO:0008543;GO:0000082;GO:0035278;GO:0010586;GO:0021915;GO:0051865;GO:0060964;GO:2000177;GO:0072089
isogroup6679	GO:0005576
isogroup30817	GO:0016021;GO:0016020;GO:0005262;GO:0005509;GO:0030246;GO:0001965;GO:0050982
