isogroup141339	sp|P79987|HIRA_CHICK	7e-34
isogroup71425	sp|A7RQM5|ASNA_NEMVE	5e-108
isogroup58561	sp|Q17390|CUL2_CAEEL	3e-166
isogroup60863	sp|P49696|SYVC_TAKRU	7e-147
isogroup51466	sp|Q9USM4|LUC7_SCHPO	9e-20
isogroup36231	sp|P55024|TYRO_CHICK	3e-118
isogroup29756	sp|Q9EPZ8|RN103_RAT	1e-07
isogroup54788	sp|P33991|MCM4_HUMAN	3e-22
isogroup39702	sp|P59326|YTHD1_MOUSE	4e-89
isogroup38715	sp|Q5ZHY5|CHIP_CHICK	3e-49
isogroup39767	sp|Q9EQW7|KI13A_MOUSE	4e-83
isogroup125426	sp|O49447|ADT3_ARATH	9e-31
isogroup44765	sp|P52799|EFNB2_HUMAN	2e-09
isogroup72943	sp|Q9D119|PPR27_MOUSE	6e-13
isogroup147431	sp|Q8BND3|WDR35_MOUSE	1e-39
isogroup89414	sp|B1AQJ2|UBP36_MOUSE	6e-34
isogroup123093	sp|Q9Y484|WIPI4_HUMAN	1e-24
isogroup50381	sp|P42785|PCP_HUMAN	9e-47
isogroup3583	sp|B4F6V6|PBX1_XENTR	2e-46
isogroup44206	sp|O43581|SYT7_HUMAN	2e-30
isogroup141306	sp|Q60520|SIN3A_MOUSE	2e-34
isogroup115764	sp|A2ARV4|LRP2_MOUSE	7e-17
isogroup21638	sp|Q4QR58|EIF3C_XENLA	3e-43
isogroup7635	sp|A5PK39|TPP2_BOVIN	1e-70
isogroup34392	sp|Q5RDB5|CNIH1_PONAB	5e-75
isogroup139156	sp|E7FAM5|LIN41_DANRE	2e-08
isogroup6679	sp|Q5SYL3|K0100_MOUSE	3e-98
isogroup30817	sp|Q7TN88|PK1L2_MOUSE	9e-19
isogroup1918	sp|P53369|8ODP_RAT	2e-43
isogroup64908	sp|Q28EX9|UBCP1_XENTR	5e-76
isogroup42478	sp|Q0P6D2|FA69C_HUMAN	2e-45
isogroup149693	sp|Q9P0W8|SPAT7_HUMAN	2e-11
isogroup31227	sp|Q91309|F26_LITCT	2e-68
isogroup54949	sp|O17732|PYC1_CAEEL	5e-147
isogroup4460	sp|Q6V0I7|FAT4_HUMAN	3e-18
isogroup37991	sp|Q9D1X9|TM50B_MOUSE	1e-59
isogroup150934	sp|P79100|TRPC4_BOVIN	7e-07
isogroup66743	sp|F1N8V3|PHAR4_CHICK	2e-39
isogroup119730	sp|A6QLA0|NFX1_BOVIN	5e-35
isogroup105071	sp|Q6PFJ7|NSMA3_DANRE	2e-13
isogroup102372	sp|P19440|GGT1_HUMAN	8e-27
isogroup40872	sp|Q8CGU6|NICA_RAT	3e-17
isogroup9338	sp|P63255|CRIP1_RAT	8e-20
